Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (â„ƒ)
U3 KV700,11.1,T-MOTOR 12*4CF,50%,2.5,27.75,350,4000,12.61,40
U3 KV700,11.1,T-MOTOR 12*4CF,65%,4.8,53.28,550,4900,10.32,40
U3 KV700,11.1,T-MOTOR 12*4CF,75%,6.6,73.26,700,5500,9.56,40
U3 KV700,11.1,T-MOTOR 12*4CF,85%,9.1,101.01,870,6300,8.61,40
U3 KV700,11.1,T-MOTOR 12*4CF,100%,11.1,123.21,1000,6600,8.12,40
U3 KV700,11.1,T-MOTOR 13*4.4CF,50%,2.9,32.19,400,3800,12.43,42
U3 KV700,11.1,T-MOTOR 13*4.4CF,65%,5.6,62.16,650,4900,10.46,42
U3 KV700,11.1,T-MOTOR 13*4.4CF,75%,7.9,87.69,830,5300,9.47,42
U3 KV700,11.1,T-MOTOR 13*4.4CF,85%,10.5,116.55,1000,6000,8.58,42
U3 KV700,11.1,T-MOTOR 13*4.4CF,100%,12.6,139.86,1100,6400,7.87,42
U3 KV700,11.1,T-MOTOR 14*4.8CF,50%,4.1,45.51,550,3500,12.09,43
U3 KV700,11.1,T-MOTOR 14*4.8CF,65%,7.7,85.47,890,4500,10.41,43
U3 KV700,11.1,T-MOTOR 14*4.8CF,75%,10.7,118.77,1060,4900,8.92,43
U3 KV700,11.1,T-MOTOR 14*4.8CF,85%,14.5,160.95,1300,5500,8.08,43
U3 KV700,11.1,T-MOTOR 14*4.8CF,100%,17.3,192.03,1460,5800,7.60,43
U3 KV700,14.8,T-MOTOR 11*3.7CF,50%,3.2,47.36,460,5300,9.71,43
U3 KV700,14.8,T-MOTOR 11*3.7CF,65%,6,88.80,710,6500,8.00,43
U3 KV700,14.8,T-MOTOR 11*3.7CF,75%,8.2,121.36,870,7500,7.17,43
U3 KV700,14.8,T-MOTOR 11*3.7CF,85%,11,162.80,1080,8200,6.63,43
U3 KV700,14.8,T-MOTOR 11*3.7CF,100%,13,192.40,1230,8700,6.39,43
U3 KV700,14.8,T-MOTOR 12*4CF,50%,3.8,56.24,580,5000,10.31,43
U3 KV700,14.8,T-MOTOR 12*4CF,65%,7.4,109.52,880,6300,8.04,43
U3 KV700,14.8,T-MOTOR 12*4CF,75%,10.3,152.44,1100,7300,7.22,43
U3 KV700,14.8,T-MOTOR 12*4CF,85%,14,207.20,1360,7700,6.56,43
U3 KV700,14.8,T-MOTOR 12*4CF,100%,16.8,248.64,1600,8300,6.44,43
U3 KV700,14.8,T-MOTOR 13*4.4CF,50%,4.7,69.56,730,4900,10.49,47
U3 KV700,14.8,T-MOTOR 13*4.4CF,65%,9,133.20,1120,6100,8.41,47
U3 KV700,14.8,T-MOTOR 13*4.4CF,75%,12.3,182.04,1400,6800,7.69,47
U3 KV700,14.8,T-MOTOR 13*4.4CF,85%,16,236.80,1600,7400,6.76,47
U3 KV700,14.8,T-MOTOR 13*4.4CF,100%,19.4,287.12,1800,7850,6.27,47
